exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,selection_loss,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,intransigence_reference_lr,intransigence_reference_file
spike-all,ewc,spike,1,63,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.07053662123887436,0.05,0.07053662123887436,16954551694783530,44716368,18,0,0.16206237471642793,0.05505761843790013,0.9914529914529915,0.9914529914529915,-0.9914529914529915,2,0.9914529914529915,1.0,0.025557094071671855,0.8974358974358975,1.0,1.0,1.0,1.0,"[0.9572649572649573,0.25,0.20408163265306123,0.16595744680851063,0.26277372262773724,0.12738853503184713,0.11048158640226628,0.09948979591836735,0.09048723897911833,0.08297872340425531,0.07662082514734773,0.12773722627737227,0.06643952299829642,0.06230031948881789,0.058646616541353384,0.06685633001422475,0.05256064690026954,0.05505761843790013]","[0.9572649572649573,1.0,1.0,0.8974358974358975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.008547008547008628,-0.15384615384615385,-0.07499999999999996,-0.15384615384615385,0.0,-0.050000000000000044,0.0,-0.02564102564102566,-0.07692307692307687,0.0,-0.05128205128205132,-0.5641025641025641,-0.07692307692307687,-0.3076923076923077,-0.4358974358974359,-0.052631578947368474,-0.02564102564102566,-0.07692307692307687]",-0.11860536312290698,512,908.2009045853047,908246.923828125,25.40877553995233,882.7921290453523,51.92894876737367,51.554437372949906,3008510760323.824,5651517231594510,5382632010818374,268885220776136,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.5717084814034755,9589.93115234375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order1/joint_spike_ewc__order-1__seed-063.json
spike-all,ewc,spike,1,65,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.010778194553687335,0.05,0.010778194553687335,16954551694783530,44716368,18,0,0.15599504406098658,0.0499359795134443,0.9964806435394671,0.9964806435394671,-0.9964806435394671,2,0.9964806435394671,1.0,0.014077425842131728,0.9401709401709402,1.0,1.0,1.0,1.0,"[0.9401709401709402,0.25,0.20408163265306123,0.16595744680851063,0.14233576642335766,0.12738853503184713,0.14447592067988668,0.09948979591836735,0.09048723897911833,0.08297872340425531,0.07662082514734773,0.12043795620437957,0.06643952299829642,0.06230031948881789,0.07819548872180451,0.05405405405405406,0.05256064690026954,0.0499359795134443]","[0.9401709401709402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.09401709401709402,-0.4871794871794872,0.0,0.0,-0.28205128205128205,-0.050000000000000044,-0.05128205128205132,-0.02564102564102566,-0.05128205128205132,-0.02564102564102566,-0.3076923076923077,-0.1282051282051282,-0.05128205128205132,-0.02564102564102566,-0.20512820512820518,-0.02631578947368418,-0.02564102564102566,-0.02564102564102566]",-0.10348003198880394,512,891.9877988800017,892026.505859375,27.462975378999545,864.5248235010022,50.85440138241189,51.213064483999915,3008510760323.824,5651517231594510,5382632010818374,268885220776136,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.597796874520888,9589.93115234375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order1/joint_spike_ewc__order-1__seed-065.json
spike-all,ewc,spike,1,67,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.03145957599330393,0.05,0.03145957599330393,16954551694783530,44716368,18,0,0.15815226015421074,0.0499359795134443,0.9974861739567622,0.9974861739567622,-0.9974861739567622,2,0.9974861739567622,1.0,0.010055304172951222,0.9572649572649573,1.0,1.0,1.0,1.0,"[0.9572649572649573,0.25,0.20408163265306123,0.16595744680851063,0.14233576642335766,0.12738853503184713,0.11048158640226628,0.10204081632653061,0.09976798143851508,0.12978723404255318,0.07662082514734773,0.13138686131386862,0.06643952299829642,0.06230031948881789,0.058646616541353384,0.059743954480796585,0.05256064690026954,0.0499359795134443]","[0.9572649572649573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.03418803418803418,0.0,-0.050000000000000044,0.0,-0.10256410256410253,0.0,-0.02564102564102566,0.0,-0.1282051282051282,-0.05128205128205132,-0.07692307692307687,0.0,0.0,-0.41025641025641024,-0.3589743589743589,-0.1842105263157895,0.0,-0.05128205128205132]",-0.08186259809066826,512,903.0459485290012,903104.0478515625,27.788984201000858,875.2569643280003,51.485703784000016,52.39971555599914,3008510760323.824,5651517231594510,5382632010818374,268885220776136,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.44342133290353564,9589.93115234375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order1/joint_spike_ewc__order-1__seed-067.json
spike-all,ewc,spike,1,69,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.02072693261763324,0.1,0.02072693261763324,16954551694783530,44716368,18,0,0.15227238350787603,0.05377720870678617,0.9890522875816994,0.9890522875816994,-0.9890522875816994,2,0.9890522875816994,1.0,0.030614479551974823,0.8888888888888888,1.0,1.0,1.0,1.0,"[0.8888888888888888,0.25,0.20408163265306123,0.16595744680851063,0.14233576642335766,0.12738853503184713,0.11331444759206799,0.10204081632653061,0.09280742459396751,0.0851063829787234,0.07662082514734773,0.1386861313868613,0.06814310051107325,0.06230031948881789,0.058646616541353384,0.05689900426742532,0.05390835579514825,0.05377720870678617]","[0.8888888888888888,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.008547008547008517,0.0,-0.09999999999999998,-0.07692307692307687,-0.02564102564102566,0.0,-0.02564102564102566,0.0,-0.23076923076923073,0.0,-0.07692307692307687,-0.15384615384615385,-0.07692307692307687,-0.05128205128205132,-0.33333333333333337,-0.07894736842105265,-0.07692307692307687,-0.15384615384615385]",-0.08164142550107462,512,933.3186885710056,933356.837890625,27.712222690999624,905.606465880006,53.270968581176824,55.582009158999426,3008510760323.824,5651517231594510,5382632010818374,268885220776136,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.5644056068964898,9589.93115234375,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order1/joint_spike_ewc__order-1__seed-069.json
spike-all,ewc,spike,1,71,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.022640064948741694,0.01,0.022640064948741694,16954551694783530,44716368,18,0,0.15170769662711178,0.0499359795134443,0.9979889391654098,0.9979889391654098,-0.9979889391654098,2,0.9979889391654098,1.0,0.008044243338360983,0.9658119658119658,1.0,1.0,1.0,1.0,"[0.9658119658119658,0.25,0.20408163265306123,0.16595744680851063,0.14233576642335766,0.12738853503184713,0.11048158640226628,0.09948979591836735,0.09048723897911833,0.08297872340425531,0.07662082514734773,0.07116788321167883,0.06643952299829642,0.06230031948881789,0.058646616541353384,0.05405405405405406,0.05256064690026954,0.0499359795134443]","[0.9658119658119658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.02564102564102566,-0.15384615384615385,-0.07499999999999996,-0.05128205128205132,-0.02564102564102566,0.0,-0.02564102564102566,0.0,-0.05128205128205132,0.0,-0.1282051282051282,-0.15384615384615385,-0.15384615384615385,-0.07692307692307687,-0.17948717948717952,-0.26315789473684215,0.0,-0.15384615384615385]",-0.08146461238566502,512,935.0460944180049,935092.8671875,28.018699369000387,907.0273950490046,53.354552649941446,53.654129068003385,3008510760323.824,5651517231594510,5382632010818374,268885220776136,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.555094709340319,9589.93115234375,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order1/joint_spike_ewc__order-1__seed-071.json
spike-all,ewc,spike,2,63,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0006718928119462701,0.1,0.0006718928119462701,16954551691676874,44716368,18,0,0.16463601553597057,0.05505761843790013,0.9915821501014198,0.9915821501014198,-0.9915821501014198,2,0.9915821501014198,1.0,0.025033253067863064,0.9,1.0,1.0,1.0,1.0,"[0.9568965517241379,0.25161290322580643,0.20512820512820512,0.21794871794871795,0.20146520146520147,0.21153846153846154,0.11363636363636363,0.09974424552429667,0.1,0.08315565031982942,0.07677165354330709,0.0712979890310786,0.06655290102389079,0.0688,0.058734939759036146,0.07254623044096728,0.05256064690026954,0.05505761843790013]","[0.9568965517241379,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.008620689655172487,0.0,-0.025000000000000022,0.0,-0.07692307692307687,-0.23076923076923073,0.0,-0.05128205128205132,-0.02564102564102566,-0.10256410256410253,-0.1282051282051282,-0.23076923076923073,-0.23076923076923073,-0.17948717948717952,-0.20512820512820518,-0.1282051282051282,-0.02564102564102566,-0.07692307692307687]",-0.09492705570291776,512,946.3151145609918,946357.8681640625,28.029373034001765,918.28574152699,54.01680832511706,55.43245787499836,3008510953219.206,5651517230558958,5382632009832134,268885220726824,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.5636824750375461,9582.00537109375,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order2/joint_spike_ewc__order-2__seed-063.json
spike-all,ewc,spike,2,65,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.007922043260302603,0.05,0.007922043260302603,16954551691676874,44716368,18,0,0.15531706706933085,0.0499359795134443,0.997971602434077,0.997971602434077,-0.997971602434077,2,0.997971602434077,1.0,0.008113590263691673,0.9655172413793104,1.0,1.0,1.0,1.0,"[0.9655172413793104,0.25161290322580643,0.20512820512820512,0.16666666666666666,0.15018315018315018,0.17307692307692307,0.11363636363636363,0.10230179028132992,0.09069767441860466,0.08315565031982942,0.07677165354330709,0.0712979890310786,0.06655290102389079,0.0624,0.058734939759036146,0.05547652916073969,0.05256064690026954,0.0499359795134443]","[0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.051724137931034475,-0.28205128205128205,0.0,0.0,-0.02564102564102566,-0.2564102564102564,-0.050000000000000044,0.0,-0.20512820512820518,-0.20512820512820518,-0.05128205128205132,-0.2564102564102564,-0.07692307692307687,-0.20512820512820518,0.0,-0.2564102564102564,-0.5641025641025641,-0.5641025641025641]",-0.1694690048138324,512,976.5904728349997,976637.654296875,28.16956787899835,948.4209049560013,55.78946499741184,55.03464769999846,3008510953219.206,5651517230558958,5382632009832134,268885220726824,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.5719284737550042,9582.00537109375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order2/joint_spike_ewc__order-2__seed-065.json
spike-all,ewc,spike,2,67,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.020530384334718217,0.1,0.020530384334718217,16954551691676874,44716368,18,0,0.15028289594623342,0.0499359795134443,0.995943204868154,0.995943204868154,-0.995943204868154,2,0.995943204868154,1.0,0.016227180527383374,0.9310344827586207,1.0,1.0,1.0,1.0,"[0.9310344827586207,0.25161290322580643,0.20512820512820512,0.16666666666666666,0.14285714285714285,0.125,0.11363636363636363,0.09974424552429667,0.09069767441860466,0.08315565031982942,0.07677165354330709,0.07312614259597806,0.06655290102389079,0.0624,0.058734939759036146,0.05547652916073969,0.05256064690026954,0.0499359795134443]","[0.9310344827586207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.008620689655172376,-0.15384615384615385,0.0,0.0,0.0,-0.02564102564102566,-0.050000000000000044,-0.02564102564102566,-0.1282051282051282,-0.05128205128205132,-0.02564102564102566,-0.3846153846153846,-0.05128205128205132,-0.10256410256410253,-0.07692307692307687,-0.20512820512820518,-0.02564102564102566,-0.41025641025641024]",-0.09584929757343551,512,955.3688744579995,955416.5966796875,27.774358339000173,927.5945161189993,54.56438330111761,53.84099252600208,3008510953219.206,5651517230558958,5382632009832134,268885220726824,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.5658615915406294,9582.00537109375,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order2/joint_spike_ewc__order-2__seed-067.json
spike-all,ewc,spike,2,69,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.006856408056959232,0.05,0.006856408056959232,16954551691676874,44716368,18,0,0.1650822404141268,0.05121638924455826,0.996501014198783,0.996501014198783,-0.996501014198783,2,0.996501014198783,1.0,0.009719390304836456,0.9655172413793104,1.0,1.0,1.0,1.0,"[0.9655172413793104,0.25161290322580643,0.20512820512820512,0.17094017094017094,0.17582417582417584,0.18269230769230768,0.11363636363636363,0.17391304347826086,0.09069767441860466,0.08315565031982942,0.07677165354330709,0.1316270566727605,0.06655290102389079,0.064,0.058734939759036146,0.05689900426742532,0.05256064690026954,0.05121638924455826]","[0.9655172413793104,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.034482758620689724,0.0,0.0,0.0,0.0,-0.15384615384615385,0.0,0.0,-0.20512820512820518,-0.1282051282051282,-0.02564102564102566,-0.17948717948717952,-0.02564102564102566,-0.05128205128205132,-0.10256410256410253,-0.10256410256410253,-0.02564102564102566,-0.23076923076923073]",-0.07029177718832892,512,851.9095006610078,851935.0029296875,18.210710739000206,833.6987899220076,49.04110528952986,49.19937356700029,3008510953219.206,5651517230558958,5382632009832134,268885220726824,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.2934873008995619,9582.00537109375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order2/joint_spike_ewc__order-2__seed-069.json
spike-all,ewc,spike,2,71,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.033701233403838196,0.05,0.033701233403838196,16954551691676874,44716368,18,0,0.1620049512210566,0.0499359795134443,0.9974645030425964,0.9974645030425964,-0.9974645030425964,2,0.9974645030425964,1.0,0.010141987829614611,0.9568965517241379,1.0,1.0,1.0,1.0,"[0.9568965517241379,0.25161290322580643,0.20512820512820512,0.16666666666666666,0.14285714285714285,0.22756410256410256,0.11363636363636363,0.18414322250639387,0.09069767441860466,0.08315565031982942,0.07677165354330709,0.0712979890310786,0.06655290102389079,0.0624,0.058734939759036146,0.05547652916073969,0.05256064690026954,0.0499359795134443]","[0.9568965517241379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.025862068965517238,0.0,0.0,-0.05128205128205132,-0.10256410256410253,-0.1282051282051282,-0.07499999999999996,-0.02564102564102566,-0.23076923076923073,-0.10256410256410253,-0.05128205128205132,-0.3076923076923077,0.0,-0.05128205128205132,-0.02564102564102566,-0.1282051282051282,-0.02564102564102566,-0.17948717948717952]",-0.08395102662344042,512,857.145887505998,857175.5419921875,18.460563239001203,838.6853242669968,49.334430839235104,50.0938018109955,3008510953219.206,5651517230558958,5382632009832134,268885220726824,27838714900,44716368,0,0,1654544196,1699260564,1620.5411567687988,0.29472245455188284,9582.00537109375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/ewc/order2/joint_spike_ewc__order-2__seed-071.json
