method,order,seed,search_and_joint_valid,error
ewc,1,63,True,
ewc,1,65,True,
ewc,1,67,True,
ewc,1,69,True,
ewc,1,71,True,
ewc,2,63,True,
ewc,2,65,True,
ewc,2,67,True,
ewc,2,69,True,
ewc,2,71,True,
ewc,3,63,True,
ewc,3,65,True,
ewc,3,67,True,
ewc,3,69,True,
ewc,3,71,True,
er_ace,1,63,True,
er_ace,1,65,True,
er_ace,1,67,True,
er_ace,1,69,True,
er_ace,1,71,True,
er_ace,2,63,True,
er_ace,2,65,True,
er_ace,2,67,True,
er_ace,2,69,True,
er_ace,2,71,True,
er_ace,3,63,True,
er_ace,3,65,True,
er_ace,3,67,True,
er_ace,3,69,True,
er_ace,3,71,True,
icarl,1,63,True,
icarl,1,65,True,
icarl,1,67,True,
icarl,1,69,True,
icarl,1,71,True,
icarl,2,63,True,
icarl,2,65,True,
icarl,2,67,True,
icarl,2,69,True,
icarl,2,71,True,
icarl,3,63,True,
icarl,3,65,True,
icarl,3,67,True,
icarl,3,69,True,
icarl,3,71,True,
fecam,1,63,True,
fecam,1,65,True,
fecam,1,67,True,
fecam,1,69,True,
fecam,1,71,True,
fecam,2,63,True,
fecam,2,65,True,
fecam,2,67,True,
fecam,2,69,True,
fecam,2,71,True,
fecam,3,63,True,
fecam,3,65,True,
fecam,3,67,True,
fecam,3,69,True,
fecam,3,71,True,
cwr_star,1,63,True,
cwr_star,1,65,True,
cwr_star,1,67,True,
cwr_star,1,69,True,
cwr_star,1,71,True,
cwr_star,2,63,True,
cwr_star,2,65,True,
cwr_star,2,67,True,
cwr_star,2,69,True,
cwr_star,2,71,True,
cwr_star,3,63,True,
cwr_star,3,65,True,
cwr_star,3,67,True,
cwr_star,3,69,True,
cwr_star,3,71,True,
tagfex,1,63,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/tagfex/order1/joint_spike_tagfex__order-1__seed-063.json'
tagfex,1,65,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/tagfex/order1/joint_spike_tagfex__order-1__seed-065.json'
tagfex,1,67,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_spike-all/tagfex/order1/joint_spike_tagfex__order-1__seed-067.json'
tagfex,1,69,False,RuntimeError: Search is incomplete: /nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/order1_seed069_search.json
tagfex,1,71,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/order1_seed071_search.json'
tagfex,2,63,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order2/order2_seed063_search.json'
tagfex,2,65,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order2/order2_seed065_search.json'
tagfex,2,67,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order2/order2_seed067_search.json'
tagfex,2,69,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order2/order2_seed069_search.json'
tagfex,2,71,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order2/order2_seed071_search.json'
tagfex,3,63,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order3/order3_seed063_search.json'
tagfex,3,65,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order3/order3_seed065_search.json'
tagfex,3,67,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order3/order3_seed067_search.json'
tagfex,3,69,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order3/order3_seed069_search.json'
tagfex,3,71,False,FileNotFoundError: [Errno 2] No such file or directory: '/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order3/order3_seed071_search.json'
