exp_name,dataset,method,order,seed,lr,task,tasks,task_learning_flops,core_training_flops,learning_auxiliary_flops,cumulative_learning_flops,terminal_epoch_flops,terminal_epoch_samples,terminal_flops_per_sample,summary_file,log_file
spike-all,spike,tagfex,1,63,0.01,1,18,3243892533415310,3230446341138434,13446192276876,3243892533415310,174968511882598,483,362253647790.058,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,2,18,5910403530478955,5157071257917074,753332272561881,9154296063894265,329591904329705,644,511788671319.4177,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,3,18,8296702464787394,7333825034107556,962877430679838,17450998528681659,478624819292551,804,595304501607.6505,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,4,18,11059345108825524,9876787711364090,1182557397461434,28510343637507183,655027905733448,965,678785394542.4331,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,5,18,14189917379924684,12778716873157972,1411200506766712,42700261017431867,858391335385450,1126,762336887553.6857,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,6,18,17673706065709381,16026178637198790,1647527428510591,60373967083141248,1087767279489323,1286,845853249991.6975,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,7,18,21538356311669996,19644285432782156,1894070878887840,81912323394811244,1344797376533401,1447,929369299608.4319,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,8,18,25769239160542137,23619660008689878,2149579151852259,107681562555353381,1628665249569271,1608,1012851523363.9745,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,9,18,30369507124997492,27955456300714028,2414050824283464,138051069680350873,1939534705906102,1769,1096401755741.1543,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,10,18,35335897235324125,32648410079401486,2687487155922639,173386966915674998,2277241903368623,1930,1179918084646.9548,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,11,18,40639200043870544,37698098213981948,2941101829888596,214026166959545542,2613055815788651,2091,1249668013289.6465,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,12,18,44222282104380670,41156514223843606,3065767880537064,258248449063926212,2848172424184012,2150,1324731360085.587,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,13,18,46656975927682228,43530659350542052,3126316577140176,304905424991608440,3028473403640888,2149,1409247744830.567,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,14,18,49268728102115839,46073228382041978,3195499720073861,354174153093724279,3217378603098989,2156,1492290632235.1526,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,15,18,51843266157284476,48586768947866408,3256497209418068,406017419251008755,3398746004382340,2161,1572765388423.1096,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,16,18,54065816146355348,50756737153840478,3309078992514870,460083235397364103,3570432172138694,2151,1659894082816.687,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,17,18,56726536474817628,53350556530042620,3375979944775008,516809771872181731,3758512997413284,2159,1740858266518.427,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.01,18,18,59111246561175064,55676500720413106,3434745840761958,575921018433356795,3936349569457806,2156,1825765106427.5537,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/search_spike_tagfex__order-1__lr-001__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr001/log/search_spike_tagfex__order-1__lr-001__seed-063.log
spike-all,spike,tagfex,1,63,0.05,1,18,3243892533415310,3230446341138434,13446192276876,3243892533415310,174968511882598,483,362253647790.058,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,2,18,5910403530478955,5157071257917074,753332272561881,9154296063894265,329591904329705,644,511788671319.4177,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,3,18,8296702464787394,7333825034107556,962877430679838,17450998528681659,478624819292551,804,595304501607.6505,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,4,18,11059345108825422,9876787711363988,1182557397461434,28510343637507081,655027905733448,965,678785394542.4331,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,5,18,14189917379924684,12778716873157972,1411200506766712,42700261017431765,858391335385450,1126,762336887553.6857,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,6,18,17673706065709381,16026178637198790,1647527428510591,60373967083141146,1087767279489323,1286,845853249991.6975,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,7,18,21538356311669996,19644285432782156,1894070878887840,81912323394811142,1344797376533401,1447,929369299608.4319,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,8,18,25769239160542137,23619660008689878,2149579151852259,107681562555353279,1628665249569271,1608,1012851523363.9745,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,9,18,30369507124997492,27955456300714028,2414050824283464,138051069680350771,1939534705906102,1769,1096401755741.1543,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,10,18,35335897235324125,32648410079401486,2687487155922639,173386966915674896,2277241903368623,1930,1179918084646.9548,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,11,18,40639200043870544,37698098213981948,2941101829888596,214026166959545440,2613055815788651,2091,1249668013289.6465,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,12,18,44222282104380670,41156514223843606,3065767880537064,258248449063926110,2848172424184012,2150,1324731360085.587,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,13,18,46656975927682228,43530659350542052,3126316577140176,304905424991608338,3028473403640888,2149,1409247744830.567,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,14,18,49268728102115839,46073228382041978,3195499720073861,354174153093724177,3217378603098989,2156,1492290632235.1526,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,15,18,51843266157284476,48586768947866408,3256497209418068,406017419251008653,3398746004382340,2161,1572765388423.1096,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,16,18,54065816146355348,50756737153840478,3309078992514870,460083235397364001,3570432172138694,2151,1659894082816.687,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,17,18,56726536474817628,53350556530042620,3375979944775008,516809771872181629,3758512997413284,2159,1740858266518.427,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
spike-all,spike,tagfex,1,63,0.05,18,18,59111246561175064,55676500720413106,3434745840761958,575921018433356693,3936349569457806,2156,1825765106427.5537,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/search_spike_tagfex__order-1__lr-005__seed-063__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_spike-all/tagfex/order1/lr005/log/search_spike_tagfex__order-1__lr-005__seed-063.log
