exp_name,dataset,method,order,seed,lr,task,tasks,task_learning_flops,core_training_flops,learning_auxiliary_flops,cumulative_learning_flops,terminal_epoch_flops,terminal_epoch_samples,terminal_flops_per_sample,summary_file,log_file
texture-all-4,texture,tagfex,1,52,0.01,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-052.log
texture-all-4,texture,tagfex,1,52,0.01,2,4,5977099244376284,5219163725850852,757935518525432,8139238038834526,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-052.log
texture-all-4,texture,tagfex,1,52,0.01,3,4,10253368450748246,9068810913067558,1184557537680688,18392606489582772,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-052.log
texture-all-4,texture,tagfex,1,52,0.01,4,4,15197719920715759,13579343162247778,1618376758467981,33590326410298531,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-052.log
texture-all-4,texture,tagfex,1,52,0.05,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-052.log
texture-all-4,texture,tagfex,1,52,0.05,2,4,5977099244468034,5219163725942602,757935518525432,8139238038926276,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-052.log
texture-all-4,texture,tagfex,1,52,0.05,3,4,10253368450958378,9068810913277690,1184557537680688,18392606489884654,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-052.log
texture-all-4,texture,tagfex,1,52,0.05,4,4,15197719920843701,13579343162375720,1618376758467981,33590326410728355,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-052.log
texture-all-4,texture,tagfex,1,52,0.1,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-052.log
texture-all-4,texture,tagfex,1,52,0.1,2,4,5977099244736216,5219163726210784,757935518525432,8139238039194458,333130976631874,471,707284451447.7155,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-052__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-052.log
