exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,best_lr,best_loss,total_search_flops,selection_loss,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,intransigence_reference_lr,intransigence_reference_file
texture-all-4,ewc,texture,1,52,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.338444124489899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texture-all-4,ewc,texture,1,52,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.338444124489899,,1.0082143213739039,44699952,4,0,0.20515609973563206,0.15,0.3517963517963518,0.3517963517963518,-0.3517963517963518,1,0.3517963517963518,0.34615384615384615,0.06933448079444778,0.2698412698412698,0.307997557997558,0.39277389277389274,0.4393939393939394,1.0,"[0.4393939393939394,0.13178294573643412,0.09944751381215469,0.15]","[0.4393939393939394,0.2698412698412698,0.34615384615384615]","[0.5606060606060606,0.7301587301587302,0.6538461538461539,0.38983050847457623]",0.5836103632713803,512,109.61224631099321,109620.138671875,17.60283650299243,92.00940980800078,30.669803269333595,31.299912930990104,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8401469291735945,10411.79541015625,0.01,
texture-all-4,ewc,texture,1,52,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.338444124489899,,0.338444124489899,44699952,4,0,0.50433289434237,0.24166666666666667,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.4883720930232558,0.287292817679558,0.24166666666666667]","[1.0,1.0,1.0]","[0.0,0.0,0.0,0.016949152542372836]",0.004237288135593209,512,109.3252799819893,109334.9521484375,15.877181283998652,93.44809869799064,31.14936623266355,31.768401797991828,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.7030149041990322,10411.79541015625,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order1/joint_texture_ewc__order-1__seed-052.json
texture-all-4,ewc,texture,1,53,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.3363051347712758,6955656673461822,0.7709417212058894,44699952,4,0,0.30017019416833113,0.18333333333333332,0.5567025567025566,0.5567025567025566,-0.5567025567025566,2,0.5567025567025566,0.5303030303030303,0.18364110061087616,0.34615384615384615,0.4382284382284382,0.6619769119769119,0.7936507936507936,1.0,"[0.5303030303030303,0.3875968992248062,0.09944751381215469,0.18333333333333332]","[0.5303030303030303,0.7936507936507936,0.34615384615384615]","[0.4696969696969697,0.2063492063492064,-0.1923076923076923,0.2542372881355932]",0.18449394296851926,512,111.73530460201437,111744.6953125,16.838700039006653,94.89660456300771,31.63220152100257,31.549973525005043,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8543836875105626,10411.794921875,0.01,
texture-all-4,ewc,texture,1,53,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.3363051347712758,6955656673461822,0.6557495091960638,44699952,4,0,0.44436525654203607,0.1875,0.7993487993487993,0.7993487993487993,-0.7993487993487993,1,0.7993487993487993,0.9365079365079365,0.2402702350552685,0.46153846153846156,0.699023199023199,0.9682539682539683,1.0,1.0,"[1.0,0.4573643410852713,0.13259668508287292,0.1875]","[1.0,0.9365079365079365,0.46153846153846156]","[0.0,0.06349206349206349,-0.3076923076923077,0.23728813559322037]",-0.001728027151755962,512,111.63793185600662,111648.0703125,17.08893277500465,94.54899908100197,31.516333027000655,32.31315042100323,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8682511707471955,10411.79541015625,0.01,
texture-all-4,ewc,texture,1,53,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.3363051347712758,6955656673461822,0.3363051347712758,44699952,4,0,0.5032912276757034,0.2375,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.4883720930232558,0.287292817679558,0.2375]","[1.0,1.0,1.0]","[0.0,0.0,-0.8461538461538461,0.03389830508474578]",-0.2030638852672751,512,111.02205136000703,111029.751953125,16.57510272700165,94.44694863300538,31.48231621100179,31.901239971004543,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.7536407917238345,10411.79541015625,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order1/joint_texture_ewc__order-1__seed-053.json
texture-all-4,ewc,texture,1,54,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.4006582398384933,6955656673461822,0.4573247313994095,44699952,4,0,0.4733005160820592,0.20833333333333334,0.9353886853886854,0.9353886853886854,-0.9353886853886854,1,0.9353886853886854,0.9807692307692307,0.07817123328374906,0.8253968253968254,0.903083028083028,0.9903846153846154,1.0,1.0,"[1.0,0.40310077519379844,0.281767955801105,0.20833333333333334]","[1.0,0.8253968253968254,0.9807692307692307]","[0.0,0.17460317460317465,0.019230769230769273,0.15254237288135597]",0.08659407917882497,512,109.47489849499834,109484.16015625,18.084960489009973,91.38993800598837,30.46331266866279,30.94875019999745,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8775495500231045,10411.794921875,0.01,
texture-all-4,ewc,texture,1,54,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.4006582398384933,6955656673461822,0.565254967737,44699952,4,0,0.477830956357874,0.16666666666666666,0.978835978835979,0.978835978835979,-0.978835978835979,1,0.978835978835979,1.0,0.02993044576450995,0.9365079365079365,0.9682539682539683,1.0,1.0,1.0,"[1.0,0.4573643410852713,0.287292817679558,0.16666666666666666]","[1.0,0.9365079365079365,1.0]","[0.0,0.06349206349206349,0.0,0.3220338983050848]",0.09638149044928707,512,109.3631915779988,109371.634765625,16.835102188997553,92.52808938900125,30.84269646300042,31.75970365399553,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8447156084002927,10411.79541015625,0.01,
texture-all-4,ewc,texture,1,54,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.4006582398384933,6955656673461822,0.4006582398384933,44699952,4,0,0.5001662276757034,0.225,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.4883720930232558,0.287292817679558,0.225]","[1.0,1.0,1.0]","[0.0,0.0,0.0,0.0847457627118644]",0.0211864406779661,512,108.18391861897544,108193.26953125,16.063110422997852,92.12080819597759,30.706936065325863,31.57126182698994,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8057531541756665,10411.79541015625,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order1/joint_texture_ewc__order-1__seed-054.json
texture-all-4,ewc,texture,1,55,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.3477390086997099,6955656673461822,0.3477390086997099,44699952,4,0,0.32126603387725383,0.24583333333333332,0.7301587301587302,0.7301587301587302,-0.7301587301587302,3,0.7301587301587302,0.8571428571428571,0.28659476325821887,0.3333333333333333,0.5952380952380952,0.9285714285714286,1.0,1.0,"[0.3333333333333333,0.4186046511627907,0.287292817679558,0.24583333333333332]","[0.3333333333333333,0.8571428571428571,1.0]","[0.0,-0.31746031746031744,-0.13461538461538458,-0.016949152542372836]",-0.11725621365451872,512,112.13444581400836,112147.009765625,16.263194318002206,95.87125149600615,31.957083832002052,32.370180882004206,919747731448.3307,2318552224487274,2208223941671796,110328282815478,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8620372124520751,10411.79541015625,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order1/joint_texture_ewc__order-1__seed-055.json
