exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
texture-all,ewc,texture,1,52,resnet18_cifar,0.1,10,0.06256453460082412,225.42565740600094,227360.390625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4204788791658605,10092.31494140625,1.0,0.68,0.0,1.0,1.0,1.0,0.6111111111111112,1.0,1.0,1.0
texture-all,ewc,texture,1,53,resnet18_cifar,0.05,10,0.00268083744449541,225.4271321150004,227327.5625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42338019166360635,10092.31494140625,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,ewc,texture,1,54,resnet18_cifar,0.05,10,0.0007707727204736632,225.44274534300075,227348.53125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.420631583328183,10092.31494140625,1.0,0.4,1.0,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0
texture-all,ewc,texture,1,55,resnet18_cifar,0.05,10,0.000915173813700676,249.76336400200034,251775.5,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4243720083309199,10092.31494140625,0.8484848484848485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,ewc,texture,1,56,resnet18_cifar,0.01,10,0.00962253004933397,249.3740408649992,251378.390625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4246142124960291,10092.31494140625,1.0,1.0,0.29411764705882354,1.0,1.0,0.5,1.0,1.0,0.9411764705882353,1.0
texture-all,ewc,texture,2,52,resnet18_cifar,0.05,10,0.011572944609603534,247.8560179940023,249848.015625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42373563749530757,10091.87109375,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.6956521739130435,1.0,0.9047619047619048,1.0
texture-all,ewc,texture,2,53,resnet18_cifar,0.05,10,0.0031483288388699294,244.01914948100148,246775.640625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42166926666974786,10091.87109375,1.0,0.8,1.0,1.0,1.0,1.0,0.391304347826087,0.7647058823529411,1.0,1.0
texture-all,ewc,texture,2,54,resnet18_cifar,0.1,10,0.008359025651589035,230.93220049000047,232837.078125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4214381708266046,10091.87109375,0.8888888888888888,0.68,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.8571428571428571,1.0
texture-all,ewc,texture,2,55,resnet18_cifar,0.05,10,0.0027490651855866114,230.65451415299958,232553.28125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4214975291650565,10091.87109375,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.11764705882352941,1.0,1.0
texture-all,ewc,texture,2,56,resnet18_cifar,0.05,10,0.0013859759589346747,230.40938117600126,232299.828125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4217316708339543,10091.87109375,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
