exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-5method,ewc,uwave,1,62,resnet18_cifar,0.1,6,0.028975206591076587,370.3146339089726,371265.59375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0371200390613272,498.375,0.9853372434017595,0.952755905511811,0.99,0.9910714285714286,0.9636363636363636,0.9811320754716981
uwave-5method,ewc,uwave,1,63,resnet18_cifar,0.05,6,0.00046830975154434534,425.1693886280409,426137.59375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03870782919485854,498.375,0.9912023460410557,1.0,1.0,1.0,0.9545454545454546,0.9905660377358491
uwave-5method,ewc,uwave,1,64,resnet18_cifar,0.1,6,0.018104277131013,403.80705686309375,404775.0,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.037922218780295225,498.375,0.9794721407624634,1.0,1.0,0.9642857142857143,0.9636363636363636,1.0
uwave-5method,ewc,uwave,1,65,resnet18_cifar,0.1,6,0.02413646168414023,399.33679608703824,400294.09375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03964439162830656,498.375,0.9472140762463344,0.9291338582677166,0.99,0.9910714285714286,0.9636363636363636,0.9811320754716981
uwave-5method,ewc,uwave,1,66,resnet18_cifar,0.05,6,0.007943701448432773,394.82295601896476,395812.96875,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.06098412846508187,498.375,0.9941348973607038,0.984251968503937,0.99,1.0,0.9727272727272728,1.0
uwave-5method,ewc,uwave,2,62,resnet18_cifar,0.05,6,0.003376640406403938,402.51647097297246,404059.65625,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03740287716677163,498.6875,0.9968152866242038,1.0,0.9921259842519685,0.954954954954955,0.9818181818181818,0.9508196721311475
uwave-5method,ewc,uwave,2,63,resnet18_cifar,0.1,6,0.022658852364250165,396.94139013893437,397906.375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03831090173532305,498.6875,0.9968152866242038,0.7678571428571429,0.952755905511811,0.9099099099099099,0.9727272727272728,0.9836065573770492
uwave-5method,ewc,uwave,2,64,resnet18_cifar,0.05,6,0.0004384990924448534,398.4902681230451,399434.25,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03635602570284391,498.6875,0.9968152866242038,1.0,0.9606299212598425,0.9819819819819819,0.9636363636363636,0.9672131147540983
uwave-5method,ewc,uwave,2,65,resnet18_cifar,0.1,6,0.025579611441647786,396.81060725898715,397760.9375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03645324341050582,498.6875,0.9904458598726115,0.9910714285714286,0.9606299212598425,0.972972972972973,0.9545454545454546,0.9754098360655737
uwave-5method,ewc,uwave,2,66,resnet18_cifar,0.1,6,0.04212517259691362,395.83513730205595,396792.15625,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.041510132827430164,498.6875,0.9936305732484076,0.9910714285714286,0.9763779527559056,0.963963963963964,0.9727272727272728,0.9672131147540983
uwave-5method,ewc,uwave,3,62,resnet18_cifar,0.1,6,0.05937467188595694,387.9221374329645,388883.0625,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04057779577643877,500.568359375,0.9907407407407407,0.918918918918919,1.0,1.0,0.9754098360655737,0.8818897637795275
uwave-5method,ewc,uwave,3,63,resnet18_cifar,0.1,6,0.05530370173675264,383.4275688409689,384407.75,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.061383344862926084,500.568359375,0.9969135802469136,0.9369369369369369,0.99,1.0,0.9508196721311475,0.952755905511811
