exp_name,method,dataset,order,seed,backbone,lr_candidates,loss_selection,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib
uwave-5method,ewc,uwave,1,62,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,9.850323532804404e-05,755469269148582,44691744,6,0,0.3108457566086385,0.11830357142857142,0.9988269794721407,0.9988269794721407,-0.9988269794721407,2,0.9988269794721407,1.0,0.002346041055718473,0.9941348973607038,1.0,1.0,1.0,1.0,"[0.9941348973607038,0.27136752136752135,0.176056338028169,0.16470588235294117,0.14050632911392405,0.11830357142857142]","[0.9941348973607038,1.0,1.0,1.0,1.0]","[-0.008797653958944274,-0.047244094488189003,-0.010000000000000009,-0.008928571428571397,-0.036363636363636376,-0.018867924528301883]",-0.021700313461273824,512,285.4673788580694,285476.90625,38.662233704992104,246.80514515307732,49.36102903061546,45.027483945013955,40144369251.40717,251823089716194,239853452371878,11969637344316,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.05592825774718741,1131.96240234375
uwave-5method,ewc,uwave,1,63,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.003094741812033275,755469269148582,44691744,6,0,0.3101460275912288,0.11830357142857142,0.9982404692082112,0.9982404692082112,-0.9982404692082112,2,0.9982404692082112,1.0,0.0035190615835777096,0.9912023460410557,1.0,1.0,1.0,1.0,"[0.9912023460410557,0.27136752136752135,0.176056338028169,0.16470588235294117,0.13924050632911392,0.11830357142857142]","[0.9912023460410557,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,-0.045454545454545414,-0.009433962264150941]",-0.009148084619782726,512,276.1832854289678,276192.265625,36.30873279698426,239.87455263198353,47.974910526396705,44.34300030901795,40144369251.40717,251823089716194,239853452371878,11969637344316,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.038690704124227135,1134.21240234375
uwave-5method,ewc,uwave,1,64,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,9.908032402783911e-05,755469269148582,44691744,6,0,0.3101460275912288,0.11830357142857142,0.9982404692082112,0.9982404692082112,-0.9982404692082112,2,0.9982404692082112,1.0,0.0035190615835777096,0.9912023460410557,1.0,1.0,1.0,1.0,"[0.9912023460410557,0.27136752136752135,0.176056338028169,0.16470588235294117,0.13924050632911392,0.11830357142857142]","[0.9912023460410557,1.0,1.0,1.0,1.0]","[-0.011730205278592365,0.0,0.0,-0.0357142857142857,-0.036363636363636376,0.0]",-0.01396802122608574,512,270.89194046496414,270900.7734375,36.033060232992284,234.85888023197185,46.97177604639437,43.05100921704434,40144369251.40717,251823089716194,239853452371878,11969637344316,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.037693476445253636,1134.21240234375
uwave-5method,ewc,uwave,1,65,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.00014882192163346623,755469269148582,44691744,6,0,0.31039112563044446,0.11830357142857142,0.9982404692082112,0.9982404692082112,-0.9982404692082112,2,0.9982404692082112,1.0,0.0035190615835777096,0.9912023460410557,1.0,1.0,1.0,1.0,"[0.9912023460410557,0.27136752136752135,0.176056338028169,0.1661764705882353,0.13924050632911392,0.11830357142857142]","[0.9912023460410557,1.0,1.0,1.0,1.0]","[-0.04398826979472137,-0.07086614173228345,-0.010000000000000009,-0.008928571428571397,-0.036363636363636376,-0.018867924528301883]",-0.03150242397458575,512,270.97857403900707,270987.328125,35.64089390600566,235.3376801330014,47.06753602660028,42.879388668981846,40144369251.40717,251823089716194,239853452371878,11969637344316,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03790776561020591,1134.21240234375
uwave-5method,ewc,uwave,1,66,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.00015859176827356678,755469269148582,44691744,6,0,0.30770223482485537,0.11830357142857142,0.9953079178885631,0.9953079178885631,-0.9953079178885631,2,0.9953079178885631,1.0,0.009384164222873893,0.9765395894428153,1.0,1.0,1.0,1.0,"[0.9765395894428153,0.27136752136752135,0.176056338028169,0.16470588235294117,0.13924050632911392,0.11830357142857142]","[0.9765395894428153,1.0,1.0,1.0,1.0]","[0.017595307917888547,-0.015748031496062964,-0.010000000000000009,0.0,-0.027272727272727226,0.0]",-0.005904241808483608,512,270.47269050992327,270481.458984375,35.852277321973816,234.62041318794945,46.92408263758989,42.8134651259752,40144369251.40717,251823089716194,239853452371878,11969637344316,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03738052334613583,1134.21240234375
uwave-5method,ewc,uwave,2,62,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.0027871817724408423,755445111750108,44691744,6,0,0.32284381652780914,0.13839285714285715,0.9962134510256281,0.9962134510256281,-0.9962134510256281,2,0.9962134510256281,1.0,0.006106605106118857,0.984251968503937,0.9968152866242038,1.0,1.0,1.0,"[0.9968152866242038,0.26291079812206575,0.22965641952983726,0.16716867469879518,0.1421188630490956,0.13839285714285715]","[0.9968152866242038,1.0,0.984251968503937,1.0,1.0]","[0.0,0.0,-0.007874015748031482,-0.04504504504504503,-0.018181818181818188,-0.049180327868852514]",-0.020046867807291202,512,263.85785581707023,263866.56640625,37.22992495598737,226.62793086108286,45.325586172216575,48.48649978300091,40143849773.5345,251815037250036,239845400276578,11969636973458,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03647590840825744,1132.21240234375
uwave-5method,ewc,uwave,2,63,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,9.606215882545163e-06,755445111750108,44691744,6,0,0.3219410071556526,0.13616071428571427,0.9987261146496815,0.9987261146496815,-0.9987261146496815,2,0.9987261146496815,1.0,0.002547770700636942,0.9936305732484076,1.0,1.0,1.0,1.0,"[0.9936305732484076,0.26291079812206575,0.22965641952983726,0.16716867469879518,0.1421188630490956,0.13616071428571427]","[0.9936305732484076,1.0,1.0,1.0,1.0]","[0.0031847133757961776,-0.2321428571428571,-0.047244094488189003,-0.09009009009009006,-0.027272727272727226,-0.016393442622950838]",-0.06832641637350301,512,264.0167640589061,264025.447265625,37.06205539399525,226.95470866491087,45.39094173298217,48.84548869699938,40143849773.5345,251815037250036,239845400276578,11969636973458,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.044228007806980586,1132.21240234375
uwave-5method,ewc,uwave,2,64,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05,0.002604481064047434,755445111750108,44691744,6,0,0.323002578280918,0.13616071428571427,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.26291079812206575,0.22965641952983726,0.16716867469879518,0.1421188630490956,0.13616071428571427]","[1.0,1.0,1.0,1.0,1.0]","[-0.0031847133757961776,0.0,-0.03937007874015752,-0.018018018018018056,-0.036363636363636376,-0.032786885245901676]",-0.02162055529058497,512,262.39187535096426,262400.46875,36.55424002301879,225.83763532794546,45.16752706558909,48.38572419399861,40143849773.5345,251815037250036,239845400276578,11969636973458,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03932489510459293,1132.21240234375
uwave-5method,ewc,uwave,2,65,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,0.0004705548503817628,755445111750108,44691744,6,0,0.32141022159301985,0.13616071428571427,0.9980891719745223,0.9980891719745223,-0.9980891719745223,2,0.9980891719745223,1.0,0.003821656050955413,0.9904458598726115,1.0,1.0,1.0,1.0,"[0.9904458598726115,0.26291079812206575,0.22965641952983726,0.16716867469879518,0.1421188630490956,0.13616071428571427]","[0.9904458598726115,1.0,1.0,1.0,1.0]","[0.0,-0.008928571428571397,-0.03937007874015752,-0.027027027027026973,-0.045454545454545414,-0.024590163934426257]",-0.02422839776412126,512,263.1357776269433,263144.390625,37.228769804991316,225.907007821952,45.1814015643904,48.535834993002936,40143849773.5345,251815037250036,239845400276578,11969636973458,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03846655467246559,1132.21240234375
uwave-5method,ewc,uwave,2,66,resnet18_cifar,"[0.1,0.05,0.01]",last_epoch_train_mean,0.1,9.447156824564478e-06,755445111750108,44691744,6,0,0.3224717927182853,0.13616071428571427,0.9993630573248407,0.9993630573248407,-0.9993630573248407,2,0.9993630573248407,1.0,0.001273885350318471,0.9968152866242038,1.0,1.0,1.0,1.0,"[0.9968152866242038,0.26291079812206575,0.22965641952983726,0.16716867469879518,0.1421188630490956,0.13616071428571427]","[0.9968152866242038,1.0,1.0,1.0,1.0]","[-0.0031847133757961776,-0.008928571428571397,-0.023622047244094446,-0.036036036036036,-0.027272727272727226,-0.032786885245901676]",-0.021971830100521155,512,261.2776985411183,261286.162109375,37.00775264704134,224.26994589407695,44.85398917881539,48.04684508603532,40143849773.5345,251815037250036,239845400276578,11969636973458,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.037973661944436445,1132.21240234375
