exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-all,ewc,uwave,1,48,resnet18_cifar,0.1,6,0.013791515587583092,357.3090074600186,358263.625,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.035580833744981125,504.19287109375,0.9610027855153204,0.9821428571428571,0.9369369369369369,0.9811320754716981,0.98,1.0
uwave-all,ewc,uwave,1,50,resnet18_cifar,0.01,6,0.0005894713803335644,357.15507895790506,358108.375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03785906132439517,504.19287109375,0.9888579387186629,1.0,0.9279279279279279,0.9811320754716981,1.0,1.0
uwave-all,ewc,uwave,1,52,resnet18_cifar,0.01,6,0.0006421017768950888,369.3026302421931,370257.0625,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03405027330570322,504.19287109375,0.9777158774373259,1.0,0.9459459459459459,0.9905660377358491,0.99,1.0
uwave-all,ewc,uwave,1,54,resnet18_cifar,0.05,6,0.0005900350262067477,355.3509482369991,356297.28125,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03644658032239282,504.19287109375,0.9777158774373259,1.0,0.9279279279279279,1.0,1.0,1.0
uwave-all,ewc,uwave,1,56,resnet18_cifar,0.05,6,0.002661597776868381,353.34450844605453,354289.25,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03517217867608581,504.19287109375,0.9805013927576601,1.0,0.9099099099099099,1.0,0.99,1.0
uwave-all,ewc,uwave,2,48,resnet18_cifar,0.01,6,0.0006398982819510881,361.30821906775236,362253.9375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.035321852530094996,500.5625,0.993920972644377,0.9754098360655737,1.0,1.0,0.9818181818181818,0.984251968503937
uwave-all,ewc,uwave,2,50,resnet18_cifar,0.05,6,0.00031154889377829316,360.54198437090963,361497.0625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.034231065780789195,500.5625,0.9908814589665653,0.9836065573770492,0.99,1.0,0.9818181818181818,0.9763779527559056
uwave-all,ewc,uwave,2,52,resnet18_cifar,0.05,6,0.0004286625896421137,360.9863450318808,361940.03125,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03608282817627436,500.5625,0.9422492401215805,0.9836065573770492,0.99,1.0,0.9818181818181818,0.968503937007874
uwave-all,ewc,uwave,2,54,resnet18_cifar,0.1,6,0.0242658953807961,361.598932980909,362547.4375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.033791822456156036,500.5625,0.9726443768996961,0.9836065573770492,0.98,1.0,0.9545454545454546,0.9763779527559056
uwave-all,ewc,uwave,2,56,resnet18_cifar,0.05,6,0.02348708846236593,360.78806853399146,361725.40625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03494636361470579,500.5625,0.9908814589665653,0.9508196721311475,1.0,1.0,0.990909090909091,0.9291338582677166
